[2025-04-29 15:32:59,732] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2025-04-29 15:33:00,226] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2025-04-29 15:33:00,741] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-04-29 15:33:00,758] 107 dagshub - INFO - Accessing as balu113311
[2025-04-29 15:33:01,490] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/balu113311/networksecurity "HTTP/1.1 200 OK"
[2025-04-29 15:33:02,271] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-04-29 15:33:02,277] 107 dagshub - INFO - Initialized MLflow to track repo "balu113311/networksecurity"
[2025-04-29 15:33:02,278] 107 dagshub - INFO - Repository balu113311/networksecurity initialized!
[2025-04-29 15:33:02,279] 20 root - INFO - Initiate the data ingestion
[2025-04-29 15:33:15,974] 65 root - INFO - Performed train test split on the dataframe
[2025-04-29 15:33:15,974] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-29 15:33:15,975] 75 root - INFO - Exporting train and test file path.
[2025-04-29 15:33:16,018] 84 root - INFO - Exported train and test file path.
[2025-04-29 15:33:16,019] 22 root - INFO - Data Initiation Completed
[2025-04-29 15:33:16,029] 26 root - INFO - Initiate the data Validation
[2025-04-29 15:33:16,133] 32 root - INFO - Required number of columns:2
[2025-04-29 15:33:16,133] 33 root - INFO - Data frame has columns:31
[2025-04-29 15:33:16,133] 32 root - INFO - Required number of columns:2
[2025-04-29 15:33:16,133] 33 root - INFO - Data frame has columns:31
[2025-04-29 15:33:16,270] 28 root - INFO - data Validation Completed
[2025-04-29 15:33:16,270] 31 root - INFO - data Transformation started
[2025-04-29 15:33:16,271] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-29 15:33:16,271] 65 root - INFO - Starting data transformation
[2025-04-29 15:33:16,287] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-04-29 15:33:16,287] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-29 15:33:16,304] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 15:33:16,310] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 15:33:16,310] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 15:33:16,313] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 15:33:16,314] 35 root - INFO - data Transformation completed
[2025-04-29 15:33:16,314] 37 root - INFO - Model Training sstared
[2025-04-29 15:36:29,869] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 15:36:29,870] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 15:36:29,870] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 15:36:29,887] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 15:36:29,887] 160 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_29_2025_15_32_45\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9903342730567861, precision_score=0.9867576243980738, recall_score=0.9939369442198869), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9782697826978269, precision_score=0.9699186991869919, recall_score=0.9867659222497932))
[2025-04-29 15:36:29,889] 42 root - INFO - Model Training artifact created
