[2025-04-29 12:36:26,352] 20 root - INFO - Initiate the data ingestion
[2025-04-29 12:36:33,465] 65 root - INFO - Performed train test split on the dataframe
[2025-04-29 12:36:33,466] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-29 12:36:33,467] 75 root - INFO - Exporting train and test file path.
[2025-04-29 12:36:33,546] 84 root - INFO - Exported train and test file path.
[2025-04-29 12:36:33,547] 22 root - INFO - Data Initiation Completed
[2025-04-29 12:36:33,578] 26 root - INFO - Initiate the data Validation
[2025-04-29 12:36:33,697] 32 root - INFO - Required number of columns:2
[2025-04-29 12:36:33,697] 33 root - INFO - Data frame has columns:31
[2025-04-29 12:36:33,698] 32 root - INFO - Required number of columns:2
[2025-04-29 12:36:33,698] 33 root - INFO - Data frame has columns:31
[2025-04-29 12:36:33,916] 28 root - INFO - data Validation Completed
[2025-04-29 12:36:33,916] 31 root - INFO - data Transformation started
[2025-04-29 12:36:33,917] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-29 12:36:33,917] 65 root - INFO - Starting data transformation
[2025-04-29 12:36:33,947] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-04-29 12:36:33,948] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-29 12:36:33,971] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 12:36:33,977] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 12:36:33,978] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 12:36:33,982] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 12:36:33,984] 35 root - INFO - data Transformation completed
[2025-04-29 12:36:33,985] 37 root - INFO - Model Training sstared
[2025-04-29 12:41:27,189] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 12:41:27,190] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 12:41:27,190] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 12:41:27,243] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 12:41:27,244] 154 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_29_2025_12_36_18\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913166397415186, precision_score=0.9891194841829538, recall_score=0.9935235782230317), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9774866966844045, precision_score=0.9731051344743277, recall_score=0.9819078947368421))
[2025-04-29 12:41:27,252] 42 root - INFO - Model Training artifact created
