[2025-04-29 14:37:24,537] 20 root - INFO - Initiate the data ingestion
[2025-04-29 14:37:30,523] 65 root - INFO - Performed train test split on the dataframe
[2025-04-29 14:37:30,523] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-29 14:37:30,524] 75 root - INFO - Exporting train and test file path.
[2025-04-29 14:37:30,564] 84 root - INFO - Exported train and test file path.
[2025-04-29 14:37:30,565] 22 root - INFO - Data Initiation Completed
[2025-04-29 14:37:30,571] 26 root - INFO - Initiate the data Validation
[2025-04-29 14:37:30,644] 32 root - INFO - Required number of columns:2
[2025-04-29 14:37:30,644] 33 root - INFO - Data frame has columns:31
[2025-04-29 14:37:30,644] 32 root - INFO - Required number of columns:2
[2025-04-29 14:37:30,645] 33 root - INFO - Data frame has columns:31
[2025-04-29 14:37:30,753] 28 root - INFO - data Validation Completed
[2025-04-29 14:37:30,754] 31 root - INFO - data Transformation started
[2025-04-29 14:37:30,754] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-29 14:37:30,754] 65 root - INFO - Starting data transformation
[2025-04-29 14:37:30,772] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-04-29 14:37:30,772] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-29 14:37:30,792] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 14:37:30,795] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 14:37:30,796] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 14:37:30,798] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 14:37:30,799] 35 root - INFO - data Transformation completed
[2025-04-29 14:37:30,799] 37 root - INFO - Model Training sstared
[2025-04-29 14:41:43,727] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 14:41:43,728] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 14:41:43,728] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 14:41:43,814] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 14:41:43,815] 154 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_29_2025_14_37_22\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9902951880307319, precision_score=0.9876991328896955, recall_score=0.9929049260085141), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9796416938110749, precision_score=0.976461038961039, recall_score=0.9828431372549019))
[2025-04-29 14:41:43,824] 42 root - INFO - Model Training artifact created
