[2025-04-28 18:21:36,848] 17 root - INFO - Initiate the data ingestion
[2025-04-28 18:21:39,756] 65 root - INFO - Performed train test split on the dataframe
[2025-04-28 18:21:39,756] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-28 18:21:39,757] 75 root - INFO - Exporting train and test file path.
[2025-04-28 18:21:39,843] 84 root - INFO - Exported train and test file path.
[2025-04-28 18:21:39,844] 19 root - INFO - Data Initiation Completed
[2025-04-28 18:21:39,877] 23 root - INFO - Initiate the data Validation
[2025-04-28 18:21:39,975] 32 root - INFO - Required number of columns:2
[2025-04-28 18:21:39,976] 33 root - INFO - Data frame has columns:31
[2025-04-28 18:21:39,976] 32 root - INFO - Required number of columns:2
[2025-04-28 18:21:39,976] 33 root - INFO - Data frame has columns:31
[2025-04-28 18:21:40,144] 25 root - INFO - data Validation Completed
[2025-04-28 18:21:40,145] 28 root - INFO - data Transformation started
[2025-04-28 18:21:40,145] 63 root - INFO - Entered initiate_data_transformation method of DataTranformation class
[2025-04-28 18:21:40,145] 65 root - INFO - Starting data trasformation
[2025-04-28 18:21:40,184] 48 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-04-28 18:21:40,185] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
