[2025-04-28 18:23:54,130] 17 root - INFO - Initiate the data ingestion
[2025-04-28 18:23:56,283] 65 root - INFO - Performed train test split on the dataframe
[2025-04-28 18:23:56,283] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-28 18:23:56,284] 75 root - INFO - Exporting train and test file path.
[2025-04-28 18:23:56,367] 84 root - INFO - Exported train and test file path.
[2025-04-28 18:23:56,368] 19 root - INFO - Data Initiation Completed
[2025-04-28 18:23:56,377] 23 root - INFO - Initiate the data Validation
[2025-04-28 18:23:56,494] 32 root - INFO - Required number of columns:2
[2025-04-28 18:23:56,495] 33 root - INFO - Data frame has columns:31
[2025-04-28 18:23:56,495] 32 root - INFO - Required number of columns:2
[2025-04-28 18:23:56,495] 33 root - INFO - Data frame has columns:31
[2025-04-28 18:23:56,704] 25 root - INFO - data Validation Completed
[2025-04-28 18:23:56,705] 28 root - INFO - data Transformation started
[2025-04-28 18:23:56,705] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-28 18:23:56,705] 65 root - INFO - Starting data transformation
[2025-04-28 18:23:56,745] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-04-28 18:23:56,745] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-28 18:23:56,774] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-28 18:23:56,781] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-28 18:23:56,781] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-28 18:23:56,788] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-28 18:23:56,791] 32 root - INFO - data Transformation completed
